[2026-03-09 18:53:31.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:53:31.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:53:31.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:54:02.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:54:02.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 19:35:36.000000] [WARNING] Undefined array key "melting_point" | File: logger.php:438 | User: guest | {"php_error":true,"severity":2,"file":"C:\\xampp\\htdocs\\v1\\api\\ai_assistant.php","line":442}
[2026-03-09 19:35:36.000000] [WARNING] Undefined array key "boiling_point" | File: logger.php:438 | User: guest | {"php_error":true,"severity":2,"file":"C:\\xampp\\htdocs\\v1\\api\\ai_assistant.php","line":443}
[2026-03-09 19:35:36.000000] [WARNING] Undefined array key "density" | File: logger.php:438 | User: guest | {"php_error":true,"severity":2,"file":"C:\\xampp\\htdocs\\v1\\api\\ai_assistant.php","line":444}
[2026-03-09 19:35:36.000000] [WARNING] Undefined array key "vapor_pressure" | File: logger.php:438 | User: guest | {"php_error":true,"severity":2,"file":"C:\\xampp\\htdocs\\v1\\api\\ai_assistant.php","line":446}
[2026-03-09 19:35:36.000000] [WARNING] Undefined array key "flash_point" | File: logger.php:438 | User: guest | {"php_error":true,"severity":2,"file":"C:\\xampp\\htdocs\\v1\\api\\ai_assistant.php","line":447}
[2026-03-09 19:35:36.000000] [WARNING] Undefined array key "auto_ignition_temp" | File: logger.php:438 | User: guest | {"php_error":true,"severity":2,"file":"C:\\xampp\\htdocs\\v1\\api\\ai_assistant.php","line":448}
[2026-03-09 21:13:20.000000] [WARNING] Undefined array key "melting_point" | File: logger.php:438 | User: guest | {"php_error":true,"severity":2,"file":"C:\\xampp\\htdocs\\v1\\api\\ai_assistant.php","line":456}
[2026-03-09 21:13:20.000000] [WARNING] Undefined array key "boiling_point" | File: logger.php:438 | User: guest | {"php_error":true,"severity":2,"file":"C:\\xampp\\htdocs\\v1\\api\\ai_assistant.php","line":457}
[2026-03-09 21:13:20.000000] [WARNING] Undefined array key "density" | File: logger.php:438 | User: guest | {"php_error":true,"severity":2,"file":"C:\\xampp\\htdocs\\v1\\api\\ai_assistant.php","line":458}
[2026-03-09 21:13:20.000000] [WARNING] Undefined array key "vapor_pressure" | File: logger.php:438 | User: guest | {"php_error":true,"severity":2,"file":"C:\\xampp\\htdocs\\v1\\api\\ai_assistant.php","line":460}
[2026-03-09 21:13:20.000000] [WARNING] Undefined array key "flash_point" | File: logger.php:438 | User: guest | {"php_error":true,"severity":2,"file":"C:\\xampp\\htdocs\\v1\\api\\ai_assistant.php","line":461}
[2026-03-09 21:13:20.000000] [WARNING] Undefined array key "auto_ignition_temp" | File: logger.php:438 | User: guest | {"php_error":true,"severity":2,"file":"C:\\xampp\\htdocs\\v1\\api\\ai_assistant.php","line":462}
[2026-03-09 21:13:30.000000] [WARNING] Undefined array key "melting_point" | File: logger.php:438 | User: guest | {"php_error":true,"severity":2,"file":"C:\\xampp\\htdocs\\v1\\api\\ai_assistant.php","line":456}
[2026-03-09 21:13:30.000000] [WARNING] Undefined array key "boiling_point" | File: logger.php:438 | User: guest | {"php_error":true,"severity":2,"file":"C:\\xampp\\htdocs\\v1\\api\\ai_assistant.php","line":457}
[2026-03-09 21:13:30.000000] [WARNING] Undefined array key "density" | File: logger.php:438 | User: guest | {"php_error":true,"severity":2,"file":"C:\\xampp\\htdocs\\v1\\api\\ai_assistant.php","line":458}
[2026-03-09 21:13:30.000000] [WARNING] Undefined array key "vapor_pressure" | File: logger.php:438 | User: guest | {"php_error":true,"severity":2,"file":"C:\\xampp\\htdocs\\v1\\api\\ai_assistant.php","line":460}
[2026-03-09 21:13:30.000000] [WARNING] Undefined array key "flash_point" | File: logger.php:438 | User: guest | {"php_error":true,"severity":2,"file":"C:\\xampp\\htdocs\\v1\\api\\ai_assistant.php","line":461}
[2026-03-09 21:13:30.000000] [WARNING] Undefined array key "auto_ignition_temp" | File: logger.php:438 | User: guest | {"php_error":true,"severity":2,"file":"C:\\xampp\\htdocs\\v1\\api\\ai_assistant.php","line":462}
[2026-03-09 21:14:35.000000] [WARNING] Undefined array key "melting_point" | File: logger.php:438 | User: guest | {"php_error":true,"severity":2,"file":"C:\\xampp\\htdocs\\v1\\api\\ai_assistant.php","line":456}
[2026-03-09 21:14:35.000000] [WARNING] Undefined array key "boiling_point" | File: logger.php:438 | User: guest | {"php_error":true,"severity":2,"file":"C:\\xampp\\htdocs\\v1\\api\\ai_assistant.php","line":457}
[2026-03-09 21:14:35.000000] [WARNING] Undefined array key "density" | File: logger.php:438 | User: guest | {"php_error":true,"severity":2,"file":"C:\\xampp\\htdocs\\v1\\api\\ai_assistant.php","line":458}
[2026-03-09 21:14:35.000000] [WARNING] Undefined array key "vapor_pressure" | File: logger.php:438 | User: guest | {"php_error":true,"severity":2,"file":"C:\\xampp\\htdocs\\v1\\api\\ai_assistant.php","line":460}
[2026-03-09 21:14:35.000000] [WARNING] Undefined array key "flash_point" | File: logger.php:438 | User: guest | {"php_error":true,"severity":2,"file":"C:\\xampp\\htdocs\\v1\\api\\ai_assistant.php","line":461}
[2026-03-09 21:14:35.000000] [WARNING] Undefined array key "auto_ignition_temp" | File: logger.php:438 | User: guest | {"php_error":true,"severity":2,"file":"C:\\xampp\\htdocs\\v1\\api\\ai_assistant.php","line":462}
[2026-03-09 21:20:50.000000] [WARNING] Undefined array key "melting_point" | File: logger.php:438 | User: guest | {"php_error":true,"severity":2,"file":"C:\\xampp\\htdocs\\v1\\api\\ai_assistant.php","line":478}
[2026-03-09 21:20:50.000000] [WARNING] Undefined array key "boiling_point" | File: logger.php:438 | User: guest | {"php_error":true,"severity":2,"file":"C:\\xampp\\htdocs\\v1\\api\\ai_assistant.php","line":479}
[2026-03-09 21:20:50.000000] [WARNING] Undefined array key "density" | File: logger.php:438 | User: guest | {"php_error":true,"severity":2,"file":"C:\\xampp\\htdocs\\v1\\api\\ai_assistant.php","line":480}
